,Equity Name,Trade,Entry Time,Entry Price,Exit Time,Exit Price,Quantity,Position Size,PNL,% PNL,Holding Days,Exit Type
0,MSFT,Closed,2014-10-10,44.03,515,56.86,2192.0,96513.757,28123.36,29.139,663.0,Take Profit
1,MSFT,Closed,2014-10-13,43.65,516,57.08,2282.0,99609.303,30647.26,30.767,661.0,Take Profit
2,MSFT,Closed,2014-10-14,43.73,516,57.21,2279.0,99660.669,30720.92,30.826,660.0,Take Profit
3,MSFT,Closed,2014-10-15,43.22,515,56.95,2325.0,100486.503,31922.25,31.768,658.0,Take Profit
4,MSFT,Closed,2014-10-16,42.74,365,56.47,2351.0,100481.744,32279.23,32.124,439.0,Take Profit
5,MSFT,Closed,2014-12-10,46.9,571,59.25,2101.0,98536.903,25947.35,26.333,681.0,Take Profit
6,MSFT,Closed,2014-12-16,45.16,571,58.6,2178.0,98358.48,29272.32,29.761,675.0,Take Profit
7,MSFT,Closed,2015-01-27,42.66,517,57.68,2328.0,99312.48,34966.56,35.209,556.0,Take Profit
8,MSFT,Closed,2015-01-28,41.19,515,56.92,2339.0,96343.407,36792.47,38.189,553.0,Take Profit
9,MSFT,Closed,2015-01-29,42.01,518,58.06,2443.0,102630.426,39210.15,38.205,557.0,Take Profit
10,MSFT,Closed,2015-01-30,40.4,515,56.78,2406.0,97202.404,39410.28,40.545,551.0,Take Profit
11,MSFT,Closed,2015-03-10,42.03,320,50.46,2361.0,99232.827,19903.23,20.057,227.0,Take Profit
12,MSFT,Closed,2015-03-11,41.98,320,50.47,2363.0,99198.739,20061.87,20.224,226.0,Take Profit
13,MSFT,Closed,2015-03-12,41.02,320,49.72,2419.0,99227.381,21045.3,21.209,225.0,Take Profit
14,MSFT,Closed,2015-06-08,45.73,517,57.58,2159.0,98731.069,25584.15,25.913,424.0,Take Profit
15,MSFT,Closed,2015-06-09,45.65,516,57.34,2185.0,99745.253,25542.65,25.608,422.0,Take Profit
16,MSFT,Closed,2015-06-29,44.37,357,56.0,2220.0,98501.398,25818.6,26.211,170.0,Take Profit
17,MSFT,Closed,2015-06-30,44.15,349,55.39,2236.0,98719.403,25132.64,25.459,157.0,Take Profit
18,MSFT,Closed,2015-08-21,43.07,517,57.58,2207.0,95055.489,32023.57,33.689,350.0,Take Profit
19,MSFT,Closed,2015-08-24,41.68,521,58.27,2472.0,103032.961,41010.48,39.803,353.0,Take Profit
20,MSFT,Closed,2015-08-25,40.47,571,59.18,2349.0,95064.033,43949.79,46.232,423.0,Take Profit
21,MSFT,Closed,2016-01-06,54.05,701,68.87,1840.0,99451.999,27268.8,27.419,481.0,Take Profit
22,MSFT,Closed,2016-01-07,52.17,696,66.91,1897.0,98966.487,27961.78,28.254,473.0,Take Profit
23,MSFT,Closed,2016-01-08,52.33,696,66.93,1909.0,99897.973,27871.4,27.9,472.0,Take Profit
24,MSFT,Closed,2016-04-22,51.78,695,65.88,1926.0,99728.278,27156.6,27.231,364.0,Take Profit
25,MSFT,Closed,2016-04-25,52.11,681,65.85,1931.0,100624.411,26531.94,26.367,340.0,Take Profit
26,MSFT,Closed,2016-04-26,51.44,637,65.46,1913.0,98404.717,26820.26,27.255,276.0,Take Profit
27,MSFT,Closed,2016-04-27,50.94,637,65.25,1942.0,98925.477,27790.02,28.092,275.0,Take Profit
28,MSFT,Closed,2016-04-28,49.9,637,64.48,1975.0,98552.503,28795.5,29.218,274.0,Take Profit
29,MSFT,Closed,2016-06-13,50.14,606,62.11,2016.0,101082.239,24131.52,23.873,182.0,Take Profit
30,MSFT,Closed,2016-06-14,49.83,572,60.96,2004.0,99859.324,22304.52,22.336,132.0,Take Profit
31,MSFT,Closed,2016-06-15,49.69,572,60.53,2008.0,99777.517,21766.72,21.815,131.0,Take Profit
32,MSFT,Closed,2016-06-27,48.43,605,61.61,2036.0,98603.481,26834.48,27.215,165.0,Take Profit
33,MSFT,Closed,2016-09-09,56.21,637,65.6,1760.0,98929.598,16526.4,16.705,140.0,Take Profit
34,MSFT,Closed,2016-09-13,56.53,696,67.39,1769.0,100001.568,19211.34,19.211,223.0,Take Profit
35,MSFT,Closed,2016-09-14,56.26,696,67.42,1773.0,99748.977,19786.68,19.836,222.0,Take Profit
36,MSFT,Closed,2017-06-29,68.49,858,85.38,1441.0,98694.087,24338.49,24.661,166.0,Take Profit
37,MSFT,Closed,2017-07-03,68.17,848,84.57,1442.0,98301.137,23648.8,24.058,148.0,Take Profit
38,MSFT,Closed,2017-12-04,81.08,969,98.64,1184.0,95998.722,20791.04,21.658,170.0,Take Profit
39,MSFT,Closed,2018-02-08,85.01,1198,124.2,1114.0,94701.142,43657.66,46.1,439.0,Take Profit
40,MSFT,Closed,2018-03-22,89.79,1059,115.49,1095.0,98320.051,28141.5,28.622,193.0,Take Profit
41,MSFT,Closed,2018-03-23,87.18,1054,114.35,1117.0,97380.06,30348.89,31.165,185.0,Take Profit
42,MSFT,Closed,2018-06-27,97.54,1176,120.08,1004.0,97930.161,22630.16,23.108,267.0,Take Profit
43,MSFT,Closed,2018-08-21,105.98,1200,127.6,935.0,99091.303,20214.7,20.4,247.0,Take Profit
44,MSFT,Closed,2018-10-10,106.16,1239,136.88,898.0,95331.683,27586.56,28.937,253.0,Take Profit
45,MSFT,Closed,2018-10-11,105.91,1262,139.79,949.0,100508.593,32152.12,31.989,286.0,Take Profit
46,MSFT,Closed,2018-10-24,102.32,1362,153.45,922.0,94339.04,47141.86,49.971,415.0,Take Profit
47,MSFT,Closed,2018-11-20,101.71,1331,144.26,982.0,99879.219,41784.1,41.835,344.0,Take Profit
48,MSFT,Closed,2018-12-17,102.89,1350,151.71,948.0,97539.719,46281.36,47.449,344.0,Take Profit
49,MSFT,Closed,2018-12-20,101.51,1367,156.25,970.0,98464.702,53097.8,53.926,365.0,Take Profit
50,MSFT,Closed,2018-12-21,98.23,1367,157.18,983.0,96560.093,57947.85,60.012,364.0,Take Profit
51,MSFT,Closed,2018-12-24,94.13,1362,154.47,1023.0,96294.987,61727.82,64.103,354.0,Take Profit
52,MSFT,Closed,2019-06-03,119.84,1349,151.01,807.0,96710.877,25154.19,26.01,175.0,Take Profit
53,MSFT,Closed,2019-08-05,132.21,1393,170.19,750.0,99157.505,28485.0,28.727,178.0,Take Profit
54,MSFT,Closed,2019-10-02,134.65,1393,170.35,733.0,98698.446,26168.1,26.513,120.0,Take Profit
55,MSFT,Closed,2020-02-27,158.18,1644,238.52,612.0,96806.156,49168.08,50.79,336.0,Take Profit
56,MSFT,Closed,2020-03-09,150.62,1744,265.16,662.0,99710.437,75825.48,76.046,470.0,Take Profit
57,MSFT,Closed,2020-03-12,139.06,1749,270.5,688.0,95673.278,90430.72,94.52,474.0,Take Profit
58,MSFT,Closed,2020-03-16,135.42,1765,285.1,714.0,96689.879,106871.52,110.53,493.0,Take Profit
59,MSFT,Closed,2020-09-08,202.66,1785,296.68,484.0,98087.442,45505.68,46.393,345.0,Take Profit
60,MSFT,Closed,2020-10-28,202.68,1758,280.18,481.0,97489.076,37277.5,38.238,258.0,Take Profit
61,MSFT,Closed,2020-10-29,204.72,1759,281.53,490.0,100312.801,37636.9,37.52,258.0,Take Profit
62,MSFT,Closed,2020-10-30,202.47,1752,276.73,491.0,99412.771,36461.66,36.677,245.0,Take Profit
63,MSFT,Closed,2021-01-06,212.25,1752,273.7,471.0,99969.75,28942.95,28.952,177.0,Take Profit
